did,handle,displayName,avatar,followedDt,lastPostUri,lastPostDt,followsBack
did:plc:bal5kuodm6gbrzz53ko4hwzt,bleaksigilkeep.bsky.social,BLEAKSIGILKEEP,https://av-cdn.bsky.app/img/avatar/plain/did:plc:bal5kuodm6gbrzz53ko4hwzt/bafkreicyjpb6rmfo52umrvzxhcgharkoqs2ngm7jniwqpjzut25j5tqtim@jpeg,6/10/2023,at://did:plc:vevja4iv54kfjk7c3byhygpi/app.bsky.feed.post/3k4lkk63jxp2h,8/10/2023,1
did:plc:mmy6clo4msvxkrkxdgo3g7pn,porksweats.bsky.social,don't hug me I'm porksweats,https://av-cdn.bsky.app/img/avatar/plain/did:plc:mmy6clo4msvxkrkxdgo3g7pn/bafkreigld7dq3cetuxu5a64luauh2srhl2czucyhprvsepbzdualzar74q@jpeg,6/9/2023,at://did:plc:3bknvngdjgizvyiekpjasxd7/app.bsky.feed.post/3k65faljmir24,8/29/2023,1
did:plc:wwdo6xcdq2lic6xoeykqqjmv,sammisativa.bsky.social,ᔕᴀᴍᴀɴᴛʜᴀ ᗰᴀʀɪᴊᴜᴀɴᴀ,https://av-cdn.bsky.app/img/avatar/plain/did:plc:wwdo6xcdq2lic6xoeykqqjmv/bafkreiaptmjb7ffxxnji24l7rgv3kvmzbhbhmrib3r3hses7rbnr4o7gqy@jpeg,6/9/2023,at://did:plc:wwdo6xcdq2lic6xoeykqqjmv/app.bsky.feed.post/3k65eh26wc52i,8/29/2023,0
did:plc:ojflqlp5qfyzjkb5abdt2ab7,blackpansyx.bsky.social,emma,https://av-cdn.bsky.app/img/avatar/plain/did:plc:ojflqlp5qfyzjkb5abdt2ab7/bafkreigi3x5ehbz5ukvo2o357t735dysczx6jwvkhlmbha5agns6lklpau@jpeg,6/9/2023,at://did:plc:ojflqlp5qfyzjkb5abdt2ab7/app.bsky.feed.post/3k65eacpymt2s,8/29/2023,1
did:plc:ifnpirhh7ihbsqyee5yjrlam,fleerultra.bsky.social,Michael,https://av-cdn.bsky.app/img/avatar/plain/did:plc:ifnpirhh7ihbsqyee5yjrlam/bafkreiggc2pmpqgurvgkn4fyfrbx7ijcr2wcetvbdpesdso4c7utldod5m@jpeg,6/8/2023,at://did:plc:ifnpirhh7ihbsqyee5yjrlam/app.bsky.feed.post/3k65las34p72f,8/30/2023,0
did:plc:qmckdkio45aenrxsqof77ell,beetsforever.bsky.social,Sarah Slater 🏳️‍⚧️,https://av-cdn.bsky.app/img/avatar/plain/did:plc:qmckdkio45aenrxsqof77ell/bafkreia66jki5d7ezor7q4fox2ztrukbcociuq2rnviscxcvwyvzwmjsba@jpeg,6/7/2023,at://did:plc:qmckdkio45aenrxsqof77ell/app.bsky.feed.post/3k65am6uikx2f,8/29/2023,1
did:plc:pmqvr2bjbb2oeotl6xzi7grp,shoegaze-dad.bsky.social,Shoegaze Dad 🇵🇭,https://av-cdn.bsky.app/img/avatar/plain/did:plc:pmqvr2bjbb2oeotl6xzi7grp/bafkreiftmx5ytkvqf5tw5mtgeawbfgmkqxzqimqc6mshl4gk2jr3qyhyq4@jpeg,6/7/2023,at://did:plc:dzfc3nbevijs2oefcipuewfn/app.bsky.feed.post/3k5pwgzg5rx22,8/30/2023,0
did:plc:uhxkirvvf2vwxtglnrsvgkwe,teddu.world,teddu,https://av-cdn.bsky.app/img/avatar/plain/did:plc:uhxkirvvf2vwxtglnrsvgkwe/bafkreif3k25vwjh7i5unckbhvuvhtd2j7lohnasppgmzxqjagpmw54erxe@jpeg,6/5/2023,at://did:plc:2dsnpbdcgv67n62ztkxejaou/app.bsky.feed.post/3k5wk5gsqhn2k,8/29/2023,1
did:plc:e24s5cibaj3sfqcccfhycxz4,chotskys.bsky.social,Chotskys,https://av-cdn.bsky.app/img/avatar/plain/did:plc:e24s5cibaj3sfqcccfhycxz4/bafkreidq5mybhx7qqelf76dfbnmeynnwbqpqzv3g3wt7bcuj3q3qmg3bwm@jpeg,6/5/2023,at://did:plc:e24s5cibaj3sfqcccfhycxz4/app.bsky.feed.post/3jzv7cirwxz2h,7/6/2023,1
did:plc:xfjtzappvqjxzocx7yrzyqjq,leaveullman.bsky.social,,https://av-cdn.bsky.app/img/avatar/plain/did:plc:xfjtzappvqjxzocx7yrzyqjq/bafkreia2i5jnbpivblwsfxwp5jr67q5v4whzmo5g2opcmhqejooxlkwffi@jpeg,6/5/2023,at://did:plc:xfjtzappvqjxzocx7yrzyqjq/app.bsky.feed.post/3k345evoerk2j,7/22/2023,1
did:plc:lxylj4ytuag4vbvlmyog336a,stilldarcy.bsky.social,𝒅𝒂𝒓𝒄𝒚,https://av-cdn.bsky.app/img/avatar/plain/did:plc:lxylj4ytuag4vbvlmyog336a/bafkreicibiflibzq6dlge2abimqapzxsnvsrkavwl4ojqct34342mxfrqi@jpeg,6/5/2023,at://did:plc:lxylj4ytuag4vbvlmyog336a/app.bsky.feed.post/3jznpfvmibs25,7/3/2023,1
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee,https://av-cdn.bsky.app/img/avatar/plain/did:plc:ragtjsm2j2vknwkz3zp4oxrd/bafkreiftyjy6k3t2yi5hh7gwin4p4hkuhp3kqxbzbbzr4gjsgotvcyk73e@jpeg,6/4/2023,at://did:plc:ragtjsm2j2vknwkz3zp4oxrd/app.bsky.feed.post/3k65pol236m2m,8/30/2023,0
did:plc:vctrhfkbw3pmzr5qhebx2ucc,hzl.bsky.social,heɪz(ə)l,https://av-cdn.bsky.app/img/avatar/plain/did:plc:vctrhfkbw3pmzr5qhebx2ucc/bafkreigb26lykvokvzkvtzqv6xbx6shtvsspkcrksg3keqv5nezxvkcv5y@jpeg,6/4/2023,at://did:plc:vctrhfkbw3pmzr5qhebx2ucc/app.bsky.feed.post/3k5ljcrc4br2g,8/22/2023,1
did:plc:3zo3ghup37hchqug3eimjsyu,nayfin.bsky.social,NAYFIN.,https://av-cdn.bsky.app/img/avatar/plain/did:plc:3zo3ghup37hchqug3eimjsyu/bafkreigyf7dhf6gv3ymateadewubeqgwtpgcacnw3dvzx6c7fan6pm5kwq@jpeg,6/2/2023,at://did:plc:3zo3ghup37hchqug3eimjsyu/app.bsky.feed.post/3k3c2e3jejy2r,7/24/2023,1
did:plc:omvewjchqhs7eeemgnu2aenz,gorilla.bsky.social,,,6/2/2023,,,0
did:plc:sx3h5azwmfl7hguj5y3xgg4w,bongineer.cloud,bong engineers union steward,https://av-cdn.bsky.app/img/avatar/plain/did:plc:sx3h5azwmfl7hguj5y3xgg4w/bafkreidb37wqni4cwysve7oxcuom7bvfks3kp5lqcuzx2zrkbo5egm5nxq@jpeg,6/1/2023,at://did:plc:sx3h5azwmfl7hguj5y3xgg4w/app.bsky.feed.post/3k65qclbrlv2i,8/30/2023,1
did:plc:h5gbeses23nu5whpu55ytzgz,skeet.fans,kony 2024 外伝,https://av-cdn.bsky.app/img/avatar/plain/did:plc:h5gbeses23nu5whpu55ytzgz/bafkreicrtuyeeacgxasdytiqbpphqqbgo6tn36pvkpueg75y4ryu5bhgau@jpeg,6/1/2023,at://did:plc:h5gbeses23nu5whpu55ytzgz/app.bsky.feed.post/3k65j7cbyo22n,8/29/2023,1
did:plc:xkomxt2hwlci4eqdt4sox4pd,insanemistress.bsky.social,Lioness,https://av-cdn.bsky.app/img/avatar/plain/did:plc:xkomxt2hwlci4eqdt4sox4pd/bafkreidmmaeewqzma2eatk4edj7jabi6lwiztuh455lha37s5fghjfi6x4@jpeg,6/1/2023,at://did:plc:xkomxt2hwlci4eqdt4sox4pd/app.bsky.feed.post/3k65lbzbw2c2f,8/30/2023,1
did:plc:giip3jr2xysgzgcexh3h2ygz,commiebastard.bsky.social,dogman superstar,https://av-cdn.bsky.app/img/avatar/plain/did:plc:giip3jr2xysgzgcexh3h2ygz/bafkreia7f42g7pgbc46ffelsxonna5gaeu6pc6byptbmjhlrisd4kgi2ya@jpeg,6/1/2023,at://did:plc:giip3jr2xysgzgcexh3h2ygz/app.bsky.feed.post/3k65aoxkg3t2a,8/29/2023,1
did:plc:prkj6ojjekczlh5tvjpyrtcv,realteaemoji.bsky.social,tea ☕️,https://av-cdn.bsky.app/img/avatar/plain/did:plc:prkj6ojjekczlh5tvjpyrtcv/bafkreifthy7545udbg7ma6zxoeog3glhhpxw2lcw4q3x3q3vnefrmq7ohq@jpeg,6/1/2023,at://did:plc:prkj6ojjekczlh5tvjpyrtcv/app.bsky.feed.post/3k5ea5bfo7w2g,8/19/2023,1
did:plc:rhwy5nosamjx5wvk4sx6avxu,kschwenky.bsky.social,Kerry,https://av-cdn.bsky.app/img/avatar/plain/did:plc:rhwy5nosamjx5wvk4sx6avxu/bafkreibjgkdlagp7jmgglajlkh36ivva5e6u67hmz5qw2memyhpckrzr3e@jpeg,5/29/2023,at://did:plc:rhwy5nosamjx5wvk4sx6avxu/app.bsky.feed.post/3k65is267sx2w,8/29/2023,1
